"ages","alder","ambrosia","artemisia","ash","asters","basswood","beech","birch","brassica","carnation","chenopods","chestnut","cypress","elm","fir","grass","hazel","hemlock","hornbeam","larch","legume","maple","oak","pea","pine","plantain","poplar","rhododendron","rumex","sedge","spruce","walnut","willow"
50,6,0,0,0,0,0,0,5,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,21,28,8,1,0,15
500,1,0,1,0,1,0,0,4,0,1,1,0,0,0,0,5,1,0,0,0,0,0,0,0,3,0,0,12,24,3,1,0,10
1000,4,0,0,0,0,0,0,4,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,15,28,8,0,0,23
1500,4,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,18,31,5,1,0,19
2000,6,0,1,0,0,0,0,6,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,23,32,7,0,0,27
2500,3,0,0,0,2,0,0,4,2,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,34,3,1,0,18
3000,3,0,0,0,1,0,0,3,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,18,30,3,0,0,22
3500,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,19,35,4,0,0,18
4000,2,0,2,0,1,0,0,1,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,20,54,6,1,0,19
5000,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,22,35,11,1,0,26
5500,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,13,24,4,0,0,22
6500,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,22,39,5,0,0,21
7000,1,0,0,0,0,0,0,4,1,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,18,34,4,0,0,31
7500,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,14,27,4,0,0,45
8000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,33,6,0,0,60
8500,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,21,6,0,0,68
9000,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,21,5,0,0,76
9500,1,0,0,0,2,0,0,1,0,4,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,132,8,0,0,52
10000,1,0,0,0,0,0,0,2,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,60,10,0,0,0
10500,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,32,15,1,0,0
