"Taxon Latin","Taxon Common","PPE (unitless)","PPE SE","FS (cm/s)","LCT"
"Alnus","alder",2.7,0.12,0.021,"STS"
"Ambrosia","ambrosia",1.36,0.36,0.013,"OVL"
"Artemisia","artemisia",1.35,0.24,0.012,"OVL"
"Fraxinus","ash",2.42,0.19,0.02,"STS"
"Asterx","asters",0.59,0.13,0.025,"OVL"
"Tilia","basswood",0.8,0.07,0.03,"STS"
"Fagus","beech",2.35,0.11,0.056,"STS"
"Betula","birch",6.19,0.15,0.051,"STS"
"Brassicaceae","brassica",0.48,0.09,0.021,"OVL"
"Caryophyll","carnation",0.6,0.05,0.041,"OVL"
"Chenopods","chenopods",5.24,0.5,0.011,"OVL"
"Castanea","chestnut",5.87,0.24,0.014,"STS"
"Cupressaceae","cypress",1.11,0.09,0.01,"ETS"
"Ulmus","elm",2.24,0.46,0.026,"STS"
"Abies","fir",6.88,1.44,0.12,"ETS"
"Poaceae","grass",1,0.05,0.026,"OVL"
"Corylus","hazel",1.58,0.06,0.019,"STS"
"Tsuga","hemlock",3.4,0.13,0.08,"ETS"
"Ostrya.carpinus","hornbeam",3.09,0.28,0.042,"STS"
"Larix","larch",1.24,0.15,0.065,"STS"
"Prosopis","legume",0.02,0.02,0.021,"OVL"
"Acer","maple",0.23,0.04,0.056,"STS"
"Quercus","oak",2.08,0.43,0.035,"STS"
"Fabaceae","pea",0.02,0.02,0.021,"OVL"
"Pinus","pine",14.1,0.45,0.033,"ETS"
"Plantaginx","plantain",5.96,0.31,0.019,"OVL"
"Populus","poplar",0.67,0.09,0.026,"STS"
"Ericacex","rhododendron",0.45,0.01,0.038,"OVL"
"Rumex","rumex",2.79,0.17,0.014,"OVL"
"Cyperaceae","sedge",0.98,0.03,0.031,"OVL"
"Picea","spruce",6.46,0.18,0.056,"ETS"
"Carya","walnut",2.8,0.11,0.032,"STS"
"Salix","willow",0.68,0.01,0.016,"STS"
